"gene","GO_terms"
"AC087645.1",0
"TMEM235",0
"SOCS3",80
"PGS1",0
"DNAH17",0
"AC061992.1",0
"DNAH17-AS1",0
"CYTH1",9
"USP36",19
"TIMP2",8
"DDC8",0
"SEC24C",1
"AC022400.2",0
"FUT11",0
"CHCHD1",0
"ZSWIM8",10
"RP11-574K11.31",0
"NDST2",10
"CAMK2G",12
"PLAU",31
"C10orf55",0
"VCL",47
"AP3M1",0
"ADK",0
"EVA1A",2
"FRG2C",0
"ZNF717",2
"ROBO2",76
"SIN3A",93
"PTPN9",4
"SNUPN",5
"IMP3",1
"SNX33",10
"CSPG4",15
"AC105020.1",0
"ODF3L1",0
"AC019294.1",0
"UBE2Q2",0
"FBXO22",26
"NRG4",4
"C15orf27",0
"ETFA",0
"ISL2",13
"SCAPER",22
"RCHY1",12
"THAP6",0
"C4orf26",0
"CDKL2",6
"G3BP2",10
"USO1",10
"KAT6B",7
"DUPD1",0
"DUSP13",0
"SAMD8",1
"VDAC2",9
"COMTD1",0
"ZNF503",1
"C10orf11",0
"ACADM",32
"RABGGTB",0
"MSH4",12
"ASB17",0
"ST6GALNAC3",2
"SALL3",0
"ATP9B",0
"LRRTM4",0
"ZFHX4",0
"LGALS3BP",0
"CANT1",3
"C1QTNF1-AS1",0
"C1QTNF1",42
"ENGASE",0
"RBFOX3",0
"ENPP7",8
"CBX2",8
"CBX8",23
"CBX4",11
"TBC1D16",2
"CCDC40",25
"GAA",16
"BBS10",6
"OSBPL8",40
"ST6GALNAC5",2
"PIGK",0
"AK5",0
"ZZZ3",6
"USP33",23
"FAM73A",0
"NEXN",8
"PEX2",19
"ZDHHC17",12
"CSRP2",6
"E2F7",42
"AC073528.1",0
"NAV3",12
"PKIA",36
"ZC2HC1A",0
"IL7",79
"PPEF2",10
"NAAA",2
"SDAD1",3
"AC110615.1",0
"CXCL9",23
"ART3",0
"CXCL10",64
"CXCL11",19
"NUP54",10
"SCARB2",11
"FAM47E",4
"FAM47E-STBD1",0
"CCDC158",0
"SHROOM3",3
"SOWAHB",0
"SEPT11",0
"KCTD12",1
"IRG1",0
"CLN5",5
"FBXL3",5
"MYCBP2",21
"SCEL",11
"SLAIN1",6
"EDNRB",75
"CCNI",14
"CCNG2",15
"NFATC1",36
"AC018445.1",0
"CTDP1",55
"PSTPIP1",1
"TSPAN3",0
"PEAK1",14
"HMG20A",7
"LINGO1",1
"CYSLTR1",31
"ZCCHC5",0
"LPAR4",8
"RP11-463C8.4",0
"TMEM63C",0
"ZDHHC22",0
"AC007375.1",0
"NGB",3
"POMT2",9
"GSTZ1",0
"TMED8",0
"SAMD15",0
"NOXRED1",0
"FKSG61",0
"VIPAS39",3
"AHSA1",1
"ISM2",0
"SPTLC2",9
"ALKBH1",13
"SLIRP",4
"SNW1",49
"C14orf178",0
"AC008372.1",0
"ADCK1",5
"NRXN3",7
"SYT1",31
"NMRK1",0
"OSTF1",1
"KCNMA1",17
"DLG5",67
"AL391421.1",0
"POLR3A",3
"RPS24",4
"MAGI2",47
"PAWR",59
"PPP1R12A",10
"AC073569.1",0
"CNOT6L",6
"MRPL1",0
"FRAS1",15
"PCSK5",25
"RFK",3
"GCNT1",15
"PRUNE2",0
"FOXB2",0
"VPS13A",3
"GNA14",13
"WWOX",26
"PIH1",0
"ZMIZ1",68
"PPIF",27
"ZCCHC24",0
"AL133481.1",0
"EIF5AL1",0
"SFTPA2",0
"SFTPA1",1
"NUTM2B",0
"NUTM2E",0
"SFTPD",44
"TMEM254",0
"PLAC9",0
"ANXA11",5
"AL359195.1",0
"MAT1A",0
"DYDC1",2
"DYDC2",2
"ANXA3",42
"BMP2K",13
"PAQR3",19
"NAA11",1
"GK2",2
"POU4F1",71
"RNF219",0
"TBX22",2
"FAM46D",0
"BRWD3",1
"HMGN5",4
"IRAK1BP1",1
"PHIP",31
"HMGN3",8
"REG3G",35
"REG1B",2
"REG1A",3
"REG3A",26
"CTNNA2",16
"GNAI1",23
"CD36",120
"GNAT3",12
"SEMA3C",71
"AC005008.2",0
"LRRTM1",10
"OTOGL",2
"ROBO1",110
"STMN2",8
"HEY1",69
"FAM181B",0
"PRCP",22
"C11orf82",0
"RAB30",6
"PCF11",3
"ANKRD42",7
"MRPS28",0
"TPD52",4
"ZBTB10",2
"ZNF704",0
"PAG1",22
"PTPRQ",14
"MYF6",28
"MYF5",47
"OGFOD3",0
"HEXDC",0
"C17orf62",0
"NARF",0
"FOXK2",26
"WDR45B",10
"RAB40B",4
"FN3KRP",0
"FN3K",0
"TBCD",10
"ZNF750",11
"B3GNTL1",0
"METRNL",9
"LIN7A",7
"RASGRF2",7
"CKMT2",1
"ZCCHC9",0
"ACOT12",0
"SSBP2",0
"SPRY2",107
"RP11-210M15.2",0
"ARNT2",12
"ACSS3",0
"PPFIA2",15
"FABP5",26
"PMP2",0
"FABP9",0
"FABP4",19
"FABP12",0
"IMPA1",1
"SLC10A5",0
"ZFAND1",9
"CHMP4C",27
"SNX16",3
"HGF",104
"CACNA2D1",9
"CCDC59",0
"METTL25",0
"GBE1",12
"POU3F4",11
"TMTC2",0
"CCDC90B",0
"DLG2",8
"TLE4",14
"PCLO",12
"BMP3",6
"PRKG2",10
"RASGEF1B",3
"FAM213A",0
"TSPAN14",3
"SH2D4B",0
"SEMA3E",64
"SEMA3A",53
"NRG3",37
"CYLC1",0
"RPS6KA6",12
"HDX",0
"SUCLG1",0
"DNAH6",0
"TRABD2A",7
"AC022210.1",0
"TMSB10",3
"KCMF1",0
"TCF7L1",6
"TGOLN2",0
"RETSAT",2
"ELMOD3",0
"CAPG",5
"SH2D6",1
"UBE3D",0
"DOPEY1",0
"AL139333.1",0
"PGM3",1
"RWDD2A",0
"ME1",4
"PRSS35",0
"SNAP91",4
"RIPPLY2",15
"CYB5R4",9
"MRAP2",2
"KIAA1009",0
"CADM2",0
"VGLL3",0
"CHMP2B",15
"POU1F1",11
"RALYL",0
"TMEM126B",2
"TMEM126A",14
"CREBZF",8
"CCDC89",0
"SYTL2",1
"AP000974.1",0
"CCDC83",0
"SEMA3D",36
"PRKACB",29
"SAMD13",0
"DNASE2B",0
"RPF1",1
"GNG5",8
"CTBS",1
"C1orf180",0
"SSX2IP",6
"LPAR3",24
"POF1B",5
"CHM",2
"DACH2",5
"SLC6A15",0
"TSPAN19",0
"LRRIQ1",0
"ALX1",14
"RASSF9",0
"NTS",7
"MGAT4C",1
"LRRCC1",1
"E2F5",3
"C8orf59",0
"CA13",0
"RP11-219B4.5",0
"RP11-219B4.6",0
"CA1",0
"CA3",0
"CA2",13
"REXO1L1",0
"REXO1L11P",0
"REXO1L10P",0
"ATP6V0D2",6
"PSKH2",3
"SLC7A13",1
"PICALM",22
"EED",13
"C11orf73",0
"CCDC81",0
"ME3",1
"PRSS23",0
"FZD4",69
"TMEM135",11
"MCOLN2",10
"WDR63",0
"MCOLN3",5
"SYDE2",6
"C1orf52",0
"BCL10",123
"DDAH1",20
"GRM3",5
"KIAA1324L",0
"DMTF1",2
"TMEM243",0
"KLHL4",0
"CROT",0
"ABCB4",9
"AGBL1",0
"HTR1E",1
"CGA",34
"HTR1F",1
"SLC28A3",1
"NTRK2",87
"ODF2L",2
"CLCA2",0
"CLCA1",6
"CLCA4",0
"SH3GLB1",32
"SEP15",0
"HS2ST1",31
"RP5-1052I5.2",0
"WWP1",3
"RMDN1",2
"CPNE3",18
"CNGB3",2
"CGGBP1",4
"RP11-159G9.5",0
"ZNF654",0
"C3orf38",2
"ABCB1",11
"RUNDC3B",0
"SLC25A40",6
"DBF4",20
"ADAM22",1
"SRI",30
"STEAP4",1
"ZNF804B",0
"C7orf62",0
"CPXCR1",0
"TGIF2LX",2
"RAB38",10
"CTSC",23
"GRM5",36
"CNBD1",0
"DCAF4L2",0
"MMP16",14
"TYR",14
"NOX4",46
"C12orf50",3
"C12orf29",0
"CEP290",32
"TMTC3",4
"KITLG",106
"DUSP6",18
"POC1B",2
"EPHA3",36
"CNR1",62
"RNGTT",3
"AL079342.1",0
"PNRC1",0
"SRSF12",1
"PM20D2",0
"GABRR1",4
"GABRR2",1
"UBE2J1",16
"RRAGD",34
"TRIM77",0
"TRIM49",0
"TRIM64B",0
"TRIM49D1",0
"TRIM49C",0
"NAALAD2",0
"CHORDC1",4
"MRPL46",0
"MRPS11",0
"DET1",10
"AEN",7
"ISG20",6
"ACAN",14
"HAPLN3",14
"MFGE8",4
"ABHD2",21
"RLBP1",0
"FANCI",3
"POLG",4
"RHCG",0
"TICRR",20
"KIF7",2
"TTC8",39
"FOXN3",20
"RP11-944C7.1",0
"EFCAB11",0
"GALNT4",1
"POC1B-GALNT4",0
"ATP2B1",18
"STEAP1",1
"STEAP2",1
"C7orf63",0
"GTPBP10",4
"CLDN12",3
"CDK14",21
"PLIN1",1
"PEX11A",2
"WDR93",0
"MESP1",89
"MESP2",17
"ANPEP",6
"AP3S2",0
"C15orf38-AP3S2",0
"C15orf38",0
"ZNF710",0
"IDH2",2
"SEMA4B",37
"CIB1",100
"GDPGP1",4
"TTLL13",0
"RP11-697E2.6",0
"NGRN",0
"GABARAPL3",11
"ZNF774",0
"IQGAP1",62
"CRTC3",7
"BLM",43
"FZD1",72
"MTERF",0
"GPC5",8
"AKAP9",25
"CYP51A1",7
"LRRD1",0
"KRIT1",32
"ANKIB1",6
"GATAD1",1
"ERVW-1",3
"PEX1",1
"RBM48",0
"FAM133B",0
"CDK6",94
"SAMD9",0
"SAMD9L",0
"HEPACAM2",1
"CCDC132",0
"CALCR",30
"GNGT1",26
"BARHL2",23
"ZNF644",3
"FAT3",11
"RIPK2",177
"OSGIN2",4
"NBN",56
"DECR1",5
"CALB1",32
"PCDH11X",0
"SPIN1",8
"NXNL2",2
"C9orf47",0
"S1PR3",13
"SHC3",8
"FURIN",38
"FES",88
"CCER1",0
"EPYC",6
"KERA",5
"LUM",1
"DCN",31
"TMEM64",32
"NECAB1",3
"RP11-122A3.2",0
"TMEM55A",0
"OTUD6B",0
"LRRC69",0
"SLC26A7",2
"SV2B",9
"SLCO3A1",5
"ST8SIA2",16
"C15orf32",0
"C14orf159",0
"GPR68",49
"CTD-2547L24.3",0
"CCDC88C",13
"SMEK1",0
"AL133373.1",0
"CATSPERB",1
"TC2N",0
"FBLN5",11
"C12orf79",0
"BTG1",23
"CLLU1OS",0
"CLLU1",0
"C12orf74",0
"PLEKHG7",3
"EEA1",4
"RUNX1T1",7
"SEMA4D",74
"GADD45G",17
"TFPI2",7
"BRDT",10
"EPHX4",0
"BTBD8",1
"KIAA1107",0
"C1orf146",2
"GLMN",49
"RPAP2",4
"GFI1",43
"EVI5",3
"RPL5",16
"FAM69A",0
"DIRAS2",5
"SYK",257
"AUH",0
"GNG11",8
"BET1",2
"COL1A2",24
"CASD1",1
"SGCE",5
"PEG10",10
"PPP1R9A",4
"TRIQK",0
"AC117834.1",0
"C8orf87",0
"AC016885.1",0
"FAM174B",0
"CHD2",7
"RGMA",49
"NUDT4",2
"UBE2N",29
"MRPL42",0
"KIAA1731",0
"TAF1D",1
"C11orf54",0
"MED17",11
"VSTM5",5
"HEPHL1",0
"PANX1",20
"FOLR4",0
"GPR83",3
"MRE11A",0
"ANKRD49",0
"PIWIL4",6
"FUT4",21
"AMOTL1",8
"AC112693.2",0
"FAM92A1",0
"RBM12B",0
"RBM12B-AS1",0
"TMEM67",4
"PDP1",0
"CDH17",27
"PROS1",8
"ARL13B",27
"STX19",4
"DHFRL1",0
"NSUN3",1
"MTF2",14
"TMED5",0
"CCDC18",0
"DR1",9
"FNBP1L",8
"BCAR3",37
"DNTTIP2",0
"GCLM",36
"ABCA4",5
"MCTP2",7
"EPHA7",58
"PON1",3
"PON3",3
"PON2",0
"ASB4",5
"AC002451.1",0
"PDK4",42
"DYNC1I1",0
"SOCS2",40
"CRADD",42
"GPC6",2
"CWC15",1
"KDM4D",17
"KDM4E",2
"ENDOD1",0
"SESN3",40
"FAM76B",1
"CEP57",7
"MTMR2",21
"MAML2",4
"CCDC82",0
"JRKL",0
"SERPINA12",26
"SERPINA4",4
"SERPINA5",5
"RP11-986E7.7",0
"SERPINA3",7
"GSC",34
"DICER1",38
"CLMN",0
"SYNE3",3
"SLC25A13",8
"NDUFA12",1
"NR2C1",14
"FGD6",2
"VEZT",2
"RP11-167N24.6",0
"MTRNR2L12",0
"EPHA6",11
"GEM",8
"RAD54B",6
"FSBP",0
"KIAA1429",0
"AC023632.1",0
"ESRP1",13
"DPY19L4",0
"INTS8",1
"CCNE2",21
"NDUFAF6",0
"TP53INP1",31
"PLEKHF2",0
"C8orf37",0
"GDF6",24
"UQCRB",0
"MTERFD1",0
"PTDSS1",0
"SDC2",2
"CPQ",4
"TEKT4",0
"MAL",17
"MRPS5",0
"ZNF514",0
"ZNF2",0
"PROM2",7
"KCNIP3",3
"FAHD2A",0
"TRIM43",0
"DIAPH2",3
"SHFM1",0
"C7orf76",0
"METAP2",0
"USP44",25
"NTN4",17
"RP11-536G4.1",0
"SNRPF",1
"CCDC38",1
"AMDHD1",0
"HAL",0
"LTA4H",10
"ELK3",8
"CDK17",9
"MANEA",0
"RP11-1070N10.3",0
"GLRX5",0
"TCL1B",18
"TCL1A",25
"DLX6",19
"DLX5",51
"ACN9",0
"TAC1",3
"ASNS",10
"OCM2",0
"LMTK2",8
"AC016251.1",0
"NR2F2",66
"AC087477.1",0
"C12orf55",0
"NEDD1",1
"ANKRD36C",0
"GPAT2",3
"ADRA2B",32
"ASTL",3
"CYP2C19",1
"CYP2C9",3
"CYP2C8",3
"C10orf129",0
"PDLIM1",17
"SORBS1",74
"ALDH18A1",1
"TCTN3",2
"ENTPD1",6
"RP11-248J23.7",0
"C10orf131",0
"RP11-248J23.6",0
"CC2D2B",0
"RP11-690P14.4",0
"CCNJ",14
"BLNK",21
"DNTT",5
"OPALIN",6
"UFL1",62
"FHL5",2
"GPR63",1
"STARD7",0
"TMEM127",3
"CIAO1",0
"SNRNP200",2
"ITPRIPL1",0
"NCAPH",9
"ARID5A",46
"KANSL3",11
"LMAN2L",0
"CNNM4",3
"CNNM3",0
"ANKRD23",7
"ANKRD39",0
"SEMA4C",55
"FAM178B",0
"FAHD2B",0
"ANKRD36",0
"CNTN5",6
"SPATA8",0
"LINC00923",0
"ARRDC4",7
"FAM169B",0
"IGF1R",166
"PGPEP1L",0
"RGMB",6
"CHD1",6
"BHLHA15",41
"TECPR1",4
"BRI3",0
"BAIAP2L1",9
"NPTX2",3
"TMEM130",0
"TRRAP",13
"SMURF1",58
"KPNA7",8
"COX5B",0
"ACTR1B",0
"ZAP70",86
"TMEM131",0
"VWA3B",0
"AC092675.3",0
"CNGA3",7
"RP11-204N11.1",0
"C14orf64",0
"C14orf177",0
"BCL11B",64
"ARPC1A",0
"ARPC1B",4
"PDAP1",0
"BUD31",10
"PTCD1",1
"ATP5J2-PTCD1",0
"CPSF4",0
"AC073063.1",0
"ATP5J2",0
"ZNF789",0
"ZNF394",0
"ZKSCAN5",0
"FAM200A",0
"ZNF655",16
"GS1-259H13.10",0
"ZSCAN25",0
"RP11-181C3.1",0
"TMPO",1
"SYNM",2
"TTC23",2
"LRRC28",0
"AC022819.2",0
"MEF2A",51
"AC015660.1",0
"LYSMD4",0
"DKFZP779J2370",0
"CTD-2054N24.2",0
"ADAMTS17",0
"CERS3",3
"POU3F2",45
"FBXL4",3
"MTDH",35
"LAPTM4B",5
"MATN2",0
"PCDH19",0
"COL8A1",22
"RPL30",2
"C8orf47",0
"HRSP12",0
"POP1",1
"NIPAL2",0
"STK3",75
"KCNS2",1
"CYP3A5",3
"CYP3A7",3
"CYP3A4",3
"CYP3A43",0
"OR2AE1",0
"TRIM4",0
"GJC3",5
"AZGP1",3
"ZKSCAN1",0
"ZSCAN21",2
"ZNF3",2
"COPS6",2
"MCM7",5
"AP4M1",2
"TAF6",16
"CNPY4",3
"MBLAC1",16
"LAMTOR4",13
"C7orf43",0
"GAL3ST4",1
"GPC2",4
"STAG3",2
"GATS",0
"PVRIG",10
"SPDYE3",0
"PILRB",8
"PILRA",0
"ZCWPW1",9
"MEPCE",23
"PPP1R35",12
"C7orf61",0
"TSC22D4",6
"NYAP1",1
"AGFG2",1
"LRCH4",12
"SAP25",0
"FBXO24",0
"PCOLCE",3
"MOSPD3",1
"TFR2",23
"ACTL6B",59
"GNB2",14
"GIGYF1",2
"POP7",1
"EPO",106
"INPP4A",2
"COA5",0
"UNC50",0
"MGAT4A",1
"KIAA1211L",0
"TSGA10",0
"C2orf15",0
"C2ORF15",0
"LIPT1",1
"MITD1",4
"MRPL30",0
"LYG2",0
"LYG1",0
"TXNDC9",1
"EIF5B",4
"REV1",5
"AFF3",10
"FAM174A",0
"OSR2",53
"VPS13B",5
"ST8SIA4",1
"SETD3",19
"CCNK",26
"CCDC85C",5
"HHIPL1",0
"CYP46A1",7
"EML1",3
"EVL",22
"LINS",0
"LPPR4",0
"PALMD",1
"FRRS1",0
"AGL",16
"EPHB4",23
"SLC12A9",2
"TRIP6",15
"SRRT",15
"UFSP1",0
"ACHE",27
"FAXC",0
"COQ3",5
"PNISR",1
"USP45",8
"CCNC",9
"PRDM13",11
"MCHR2",0
"SIM1",8
"ASCC3",5
"COX6C",0
"RGS22",0
"FBXO43",7
"POLR2K",1
"SPAG1",4
"RNF19A",9
"ANKRD46",0
"SNX31",0
"PABPC1",15
"YWHAZ",35
"ZNF706",4
"METAP1",9
"ADH5",3
"ADH4",3
"ADH6",4
"ADH1A",2
"ADH1B",2
"ADH7",4
"C4orf17",0
"TRMT10A",1
"MTTP",7
"RP11-766F14.2",0
"DAPP1",0
"LAMTOR3",17
"DNAJB14",0
"H2AFZ",0
"DDIT4L",0
"EMCN",1
"ARHGAP42",12
"TMEM133",0
"PGR",61
"TRPC6",2
"ANGPTL5",0
"KIAA1377",0
"C11orf70",0
"YAP1",174
"BIRC3",29
"BIRC2",47
"TMEM123",1
"RP11-315O6.2",0
"MMP7",4
"MMP20",4
"RP11-817J15.3",0
"MMP27",1
"MMP8",29
"MMP10",1
"MMP1",13
"MMP3",32
"MMP13",15
"DCUN1D5",5
"DYNC2H1",19
"TMEM45A",0
"GPR128",0
"TFG",3
"ABI3BP",4
"IMPG2",10
"SENP7",1
"LONRF2",0
"AC012493.2",0
"CHST10",6
"ASB7",0
"ALDH1A3",29
"LRRK1",35
"ACTR6",6
"DEPDC4",0
"SCYL2",13
"SLC17A8",9
"NR1H4",110
"GAS2L3",2
"ANO4",0
"GRIK2",24
"YY1",112
"SLC25A29",0
"SLC25A47",0
"WARS",0
"WDR25",0
"BEGAIN",3
"DLK1",2
"AL117190.2",0
"RTL1",0
"AL117190.3",0
"DIO3",25
"RP11-796G6.2",0
"PPP2R5C",1
"PDGFD",82
"DDI1",3
"NPAS2",10
"RPL31",2
"TBC1D8",3
"CHSY1",17
"NXF2",3
"TCP11X1",6
"NXF2B",3
"TCP11X2",0
"TMSB15A",3
"SLC5A8",0
"UTP20",1
"ARL1",10
"SPIC",3
"MYBPC1",0
"CHPT1",3
"SYCP3",2
"GNPTAB",1
"DRAM1",4
"CCDC53",0
"NUP37",3
"PARPBP",4
"PMCH",0
"IGF1",270
"PAH",0
"ASCL1",84
"RP11-552I14.1",0
"VIMP",0
"SNRPA1",1
"PCSK6",19
"TM2D3",4
"CNOT11",4
"RNF149",3
"CREG2",0
"RFX8",4
"MAP4K4",42
"FLJ20373",0
"IL1R2",10
"IL1R1",37
"IL1RL2",33
"PAM",2
"GIN1",0
"PPIP5K2",0
"C5orf30",0
"NUDT12",4
"BEX1",10
"NXF3",3
"BEX4",5
"TCEAL8",0
"TCEAL5",0
"BEX2",4
"TCEAL7",1
"WBP5",0
"NGFRAP1",0
"RAB40A",4
"DYNC1H1",12
"HSP90AA1",118
"WDR20",0
"MOK",5
"ZNF839",0
"CINP",2
"TECPR2",2
"ANKRD9",2
"RCOR1",15
"TRAF3",34
"AMN",1
"CDC42BPB",6
"EXOC3L4",0
"TNFAIP2",2
"EIF5",5
"MARK3",12
"TCEAL4",0
"TCEAL3",0
"TCEAL1",0
"MORF4L2",16
"GLRA4",0
"TMEM31",0
"PLP1",16
"RAB9B",7
"TMSB15B",6
"H2BFWT",0
"H2BFM",0
"SLC25A53",0
"ZCCHC18",0
"FAM199X",0
"FAM185A",0
"FBXL13",0
"LRRC17",18
"ARMC10",12
"NAPEPLD",10
"PMPCB",0
"DNAJC2",11
"PSMC2",6
"SLC26A5",19
"RELN",59
"CASP12",0
"GRHL2",81
"NCALD",3
"RRM2B",33
"UBR5",39
"KB-1980E6.3",0
"ORC5",2
"LHFPL3",0
"CKB",3
"TRMT61A",2
"BAG5",24
"KLC1",0
"ODF1",0
"KLF10",31
"AZIN1",4
"FGF14",1
"TPP2",0
"METTL21C",24
"CCDC168",0
"TEX30",0
"KDELC1",0
"BIVM",0
"BIVM-ERCC5",0
"ERCC5",10
"CASP4",14
"CASP5",4
"COL11A1",38
"RNPC3",0
"AMY2B",1
"AMY2A",1
"AMY1A",1
"AMY1B",1
"NFKB1",87
"MANBA",1
"UBE2D3",18
"CISD2",4
"C12orf42",0
"STAB2",3
"NT5DC3",1
"RP11-650K20.3",0
"HSP90B1",15
"C12orf73",0
"TDG",8
"GLT8D2",0
"HCFC2",6
"NFYB",14
"TXNRD1",7
"EID3",8
"IL1RAPL2",6
"TEX13A",0
"HACE1",2
"KB-1507C5.2",0
"ATP6V1C1",7
"C8orf56",0
"BAALC",2
"FZD6",55
"CTHRC1",36
"SLC25A32",0
"DCAF13",20
"RIMS2",24
"LPPR1",0
"BAAT",5
"MRPL50",0
"ZNF189",0
"ALDOB",16
"KMT2E",34
"SRPK2",22
"PUS7",8
"RINT1",17
"EFCAB10",0
"ATXN7L1",0
"CDHR3",13
"SYPL1",0
"SUFU",55
"TRIM8",26
"ARL3",9
"SFXN2",0
"WBP1L",6
"CYP17A1",5
"C10orf32",0
"C10orf32-ASMT",0
"AS3MT",1
"CNNM2",0
"GRIN3A",13
"PPP3R2",5
"CHST11",33
"SLC41A2",0
"C12orf45",0
"ALDH1L2",1
"DPYS",1
"DCSTAMP",31
"LRP12",2
"RP11-127H5.1",0
"LIN28B",14
"BVES",30
"POPDC3",7
"PREP",0
"TMEM179",0
"C14orf180",0
"INF2",1
"ADSSL1",0
"SIVA1",5
"AKT1",390
"ZBTB42",1
"CEP170B",0
"PLD4",2
"AHNAK2",0
"C14orf79",0
"CDCA4",0
"GPR132",16
"JAG2",27
"NUDT14",0
"BRF1",7
"PRDM1",61
"ATG5",82
"AIM1",0
"RTN4IP1",1
"QRSL1",2
"CASP1",45
"CARD16",33
"CARD17",0
"CARD18",12
"GRIA4",10
"MSANTD4",0
"KBTBD3",0
"AASDHPPT",0
"NAMPT",5
"POU3F3",19
"MRPS9",0
"C6orf203",0
"BEND3",12
"PDSS2",6
"SOBP",10
"ZFPM2",65
"CCDC71L",0
"PIK3CG",112
"PRKAR2B",27
"HBP1",3
"COG5",0
"GPR22",1
"DUS4L",1
"BCAP29",2
"SLC26A4",0
"CBLL1",9
"SLC26A3",7
"DLD",7
"LAMB1",24
"LAMB4",0
"NRCAM",26
"PNPLA8",4
"THAP5",1
"DNAJB9",12
"C7orf66",0
"FLJ00325",0
"MUM1L1",0
"APPL2",87
"C12orf75",0
"GUCY1A2",5
"CXorf57",0
"RNF128",4
"TBC1D8B",2
"MORC4",2
"RIPPLY1",7
"CLDN2",3
"RBM41",0
"NUP62CL",2
"PIH1D3",0
"FRMPD3",0
"PRPS1",1
"TSC22D3",14
"NCBP2L",0
"MID2",21
"TEX13B",0
"CWF19L2",0
"NCK2",70
"C2orf40",0
"UXS1",2
"NUAK1",20
"CKAP4",0
"TCP11L2",1
"POLR3B",8
"RP11-144F15.1",0
"RFX4",9
"OXR1",8
"ABRA",15
"ANGPT1",110
"RSPO2",43
"EIF3E",3
"EMC2",1
"TMEM74",2
"TRHR",0
"NUDCD1",0
"ENY2",29
"PKHD1L1",0
"SCML4",2
"SEC63",3
"OSTM1",3
"NR2E1",81
"SNX3",24
"LACE1",0
"FOXO3",88
"VSIG1",4
"PSMD10",47
"ATG4A",2
"COL4A6",6
"COL4A5",2
"RP6-24A23.6",0
"IRS4",11
"GUCY2F",11
"NXT2",3
"ST6GAL2",1
"NTNG1",9
"VAV3",63
"FBXL17",9
"FER",117
"FAM155A",0
"LIG4",62
"ABHD13",0
"TNFSF13B",51
"MYO16",22
"ARMC2",1
"SESN1",28
"CEP57L1",0
"CD164",2
"PPIL6",0
"SMPD2",4
"MICAL1",11
"ZBTB24",1
"AK9",0
"FIG4",6
"GPR6",2
"WASF1",18
"CDC40",2
"METTL24",0
"DDO",3
"SLC22A16",0
"CDK19",17
"RGPD4",6
"SLC5A7",1
"SULT1C3",1
"PJA2",28
"SULT1C2",0
"SULT1C4",2
"GCC2",3
"LIMS1",27
"IRS2",148
"COL4A1",26
"COL4A2",15
"RAB20",7
"CARKD",0
"CARS2",1
"RANBP2",19
"CCDC138",0
"EDAR",30
"SH3RF3",16
"ZNF462",0
"RP11-508N12.4",0
"RAD23B",7
"KLF4",146
"AL162389.1",0
"ACACB",29
"FOXN4",32
"MYO1H",0
"KCTD10",7
"UBE3B",0
"MMAB",0
"MVK",4
"EBAG9",7
"SYBU",23
"RP11-422N16.3",0
"SEPT10",0
"SOWAHC",0
"KCNV1",1
"ING1",29
"LINC00346",0
"ANKRD10",0
"FAM222A",0
"TRPV4",91
"GLTP",0
"TCHP",6
"GIT2",7
"ANKRD13A",3
"C12orf76",0
"IFT81",2
"ATP2A2",44
"ANAPC7",24
"ARPC3",8
"GPN3",4
"FAM216A",0
"VPS29",0
"RAD9B",14
"PPTC7",3
"TCTN1",18
"HVCN1",9
"PPP1CC",33
"SYPL2",3
"ATXN7L2",0
"CYB561D1",0
"AMIGO1",27
"GPR61",2
"GNAI3",23
"GNAT2",31
"AMPD2",0
"GSTM4",1
"GSTM2",10
"GSTM1",1
"GSTM5",0
"GSTM3",7
"EPS8L3",14
"CSF1",108
"AMD1",0
"IMMP2L",12
"PAK3",35
"CAPN6",0
"DCX",7
"ALG13",0
"TRPC5",30
"ZCCHC16",0
"LHFPL1",0
"AMOT",23
"GTF3C6",3
"ACTL7B",0
"ACTL7A",1
"IKBKAP",0
"FAM206A",0
"CTNNAL1",4
"TMEM245",0
"FRRS1L",3
"CD96",21
"ZBED2",10
"PLCXD2",0
"PHLDB2",34
"ABHD10",0
"TAGLN3",0
"TMPRSS7",0
"C3orf52",0
"GCSAM",16
"SLC9C1",0
"CD200",29
"BTLA",3
"ATG3",8
"SLC35A5",1
"CCDC80",4
"DOCK4",20
"ZNF277",10
"IFRD1",26
"LSMEM1",0
"TMEM168",1
"C7orf60",0
"GPR85",0
"LINC00998",0
"RPF2",4
"SLC16A10",5
"KIAA1919",0
"REV3L",4
"TRAF3IP2",56
"FYN",183
"WISP3",0
"TUBE1",3
"FAM229B",0
"LAMA4",5
"TSRM",0
"EPB41L4B",13
"CUX2",20
"FAM109A",0
"SH2B3",48
"ATXN2",3
"APC",90
"CTC-554D6.1",0
"CTC-487M23.8",0
"SRP19",0
"REEP5",1
"ZRSR1",0
"DCP2",15
"MCC",19
"TSSK1B",16
"YTHDC2",16
"BRAP",2
"ACAD10",0
"RP11-162P23.2",0
"ALDH2",1
"MAPKAPK5",40
"TMEM116",0
"ERP29",22
"NAA25",1
"TRAFD1",6
"HECTD4",6
"RPL6",3
"PTPN11",170
"RFPL4B",0
"MXI1",4
"SMNDC1",1
"DUSP5",7
"SMC3",9
"RBM20",4
"PDCD4",69
"BBIP1",0
"SHOC2",30
"CSMD3",1
"RPH3A",8
"OAS1",43
"OAS3",33
"SOX1",23
"SPACA7",0
"TUBGCP3",0
"C13orf35",0
"ATP11A",6
